epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9555,1.20824,5.24424,1.15948,0.01081,0.01696,0.00847,0.00734,1.05564,4.63883,1.02998,0.0704545,0.00328283,0.00328283
2,52.9976,1.3034,4.52069,1.18215,0.62847,0.03107,0.02665,0.02101,1.27125,3.61277,1.18177,0.040389,0.00655066,0.00655066
3,69.0603,1.37037,4.17812,1.21594,0.45932,0.03602,0.01909,0.01366,1.44372,3.57707,1.24524,0.0102575,0.00975249,0.00975249
4,86.1139,1.43815,4.12624,1.26091,0.33195,0.06467,0.01961,0.01306,1.47275,3.69286,1.29952,0.009703,0.009703,0.009703
5,114.997,1.43624,4.01769,1.25615,0.29974,0.04312,0.01676,0.01139,1.50227,3.51999,1.31144,0.009604,0.009604,0.009604
6,135.544,1.38769,3.8642,1.24969,0.39452,0.07085,0.03414,0.02364,1.44006,3.51502,1.2997,0.009505,0.009505,0.009505
7,158.641,1.41662,3.81376,1.27432,0.37182,0.1049,0.03538,0.02525,1.4279,3.33076,1.32009,0.009406,0.009406,0.009406
8,176.726,1.44002,3.78085,1.28143,0.35883,0.0796,0.02606,0.01727,1.37606,3.292,1.24094,0.009307,0.009307,0.009307
9,198.952,1.40083,3.71829,1.24753,0.37655,0.05888,0.04077,0.02715,1.4157,3.24127,1.22904,0.009208,0.009208,0.009208
10,222.937,1.37731,3.56839,1.23492,0.30855,0.09058,0.03627,0.02425,1.38695,3.25004,1.25174,0.009109,0.009109,0.009109
11,245.523,1.36449,3.52629,1.22531,0.30486,0.07622,0.04956,0.03619,1.38058,3.11701,1.25985,0.00901,0.00901,0.00901
12,263.034,1.29812,3.38761,1.20186,0.34908,0.09235,0.06581,0.05264,1.2975,3.06516,1.21347,0.008911,0.008911,0.008911
13,282.833,1.3455,3.3997,1.22203,0.31151,0.11002,0.06373,0.04496,1.29592,3.10829,1.2255,0.008812,0.008812,0.008812
14,300.887,1.28322,3.35185,1.1842,0.35351,0.09188,0.06293,0.04321,1.27731,3.01317,1.20064,0.008713,0.008713,0.008713
15,321.796,1.28495,3.26075,1.19988,0.33123,0.11002,0.05859,0.04311,1.28252,3.03592,1.19339,0.008614,0.008614,0.008614
16,339.829,1.29795,3.24632,1.19387,0.32821,0.095,0.06253,0.04362,1.29658,3.1643,1.21353,0.008515,0.008515,0.008515
17,357.837,1.28933,3.22007,1.19694,0.30908,0.1305,0.06169,0.04273,1.30096,3.14637,1.2048,0.008416,0.008416,0.008416
18,377.296,1.2663,3.15674,1.17271,0.38745,0.10425,0.05948,0.04425,1.28207,2.92238,1.19186,0.008317,0.008317,0.008317
19,399.319,1.2545,3.14999,1.16684,0.43174,0.09073,0.07265,0.05337,1.26231,2.91466,1.18445,0.008218,0.008218,0.008218
20,418.966,1.26138,3.09701,1.17,0.42687,0.10085,0.06528,0.04519,1.29158,2.96732,1.19927,0.008119,0.008119,0.008119
21,438.736,1.23566,3.03066,1.14777,0.32758,0.11932,0.07368,0.05404,1.24227,2.91393,1.16643,0.00802,0.00802,0.00802
22,461.4,1.22739,2.98735,1.1566,0.3566,0.09148,0.06201,0.04355,1.24206,2.95141,1.19193,0.007921,0.007921,0.007921
23,491.598,1.21772,2.9337,1.14555,0.3838,0.11757,0.07094,0.0502,1.29497,2.9063,1.18028,0.007822,0.007822,0.007822
24,518.125,1.18682,2.82412,1.13112,0.3654,0.11063,0.08208,0.06184,1.22974,2.79633,1.16047,0.007723,0.007723,0.007723
25,540.614,1.22585,2.90332,1.14858,0.41974,0.10485,0.07092,0.05285,1.21563,2.9447,1.1737,0.007624,0.007624,0.007624
26,561.029,1.21106,2.8505,1.14237,0.40745,0.1363,0.0975,0.06895,1.25138,2.88688,1.15401,0.007525,0.007525,0.007525
27,593.829,1.19249,2.71827,1.13665,0.41566,0.12546,0.09147,0.06767,1.2225,2.86713,1.16419,0.007426,0.007426,0.007426
28,619.663,1.17535,2.693,1.11279,0.33888,0.15313,0.10416,0.07796,1.19769,2.90508,1.1498,0.007327,0.007327,0.007327
29,641.485,1.18853,2.63096,1.11855,0.34095,0.16029,0.09211,0.06742,1.2322,2.85888,1.16209,0.007228,0.007228,0.007228
30,660.466,1.19278,2.60303,1.13061,0.4365,0.13253,0.08499,0.06245,1.25574,2.92798,1.1879,0.007129,0.007129,0.007129
31,680.51,1.16314,2.53729,1.10761,0.36346,0.12009,0.09015,0.06808,1.22483,2.85621,1.14559,0.00703,0.00703,0.00703
32,700.351,1.15822,2.52357,1.10183,0.40982,0.10886,0.08381,0.05841,1.24379,2.95095,1.16577,0.006931,0.006931,0.006931
33,722.325,1.14519,2.50355,1.10916,0.45518,0.13479,0.09996,0.07287,1.23167,2.79135,1.17222,0.006832,0.006832,0.006832
34,742.428,1.1336,2.40544,1.09163,0.41416,0.12298,0.0919,0.06764,1.22513,2.79755,1.16305,0.006733,0.006733,0.006733
35,761.01,1.13137,2.42279,1.09501,0.42068,0.11139,0.09286,0.06575,1.22152,2.92877,1.18701,0.006634,0.006634,0.006634
36,787.757,1.09636,2.36625,1.09236,0.406,0.13908,0.11542,0.09034,1.18081,2.72674,1.14355,0.006535,0.006535,0.006535
37,809.273,1.11137,2.38114,1.09453,0.37228,0.15813,0.10548,0.0818,1.20313,2.74867,1.16076,0.006436,0.006436,0.006436
38,829.891,1.10726,2.31622,1.0859,0.39857,0.12304,0.10964,0.08032,1.21146,2.83471,1.16423,0.006337,0.006337,0.006337
39,850.341,1.10927,2.2498,1.07992,0.32678,0.13898,0.09819,0.07183,1.20719,2.86928,1.15941,0.006238,0.006238,0.006238
40,874.443,1.10462,2.28413,1.0903,0.33493,0.13783,0.10766,0.08129,1.19461,2.81501,1.14575,0.006139,0.006139,0.006139
41,894.864,1.08113,2.21016,1.08064,0.40949,0.12111,0.10239,0.07566,1.20036,2.80207,1.15523,0.00604,0.00604,0.00604
42,913.296,1.08468,2.19496,1.06888,0.25941,0.14529,0.08901,0.06729,1.18777,2.81743,1.14689,0.005941,0.005941,0.005941
43,933.083,1.07008,2.15754,1.07342,0.37272,0.11593,0.08754,0.06583,1.17758,2.81993,1.14838,0.005842,0.005842,0.005842
44,954.554,1.06582,2.14307,1.06844,0.31081,0.13671,0.09875,0.07282,1.19744,2.87769,1.14136,0.005743,0.005743,0.005743
45,971.629,1.05617,2.08952,1.06101,0.33771,0.15981,0.11187,0.08101,1.18022,2.74549,1.15037,0.005644,0.005644,0.005644
46,989.596,1.06499,2.06581,1.06131,0.35302,0.14832,0.10345,0.07656,1.15213,2.78424,1.14192,0.005545,0.005545,0.005545
47,1016.74,1.05735,2.00659,1.07013,0.33927,0.14841,0.09676,0.07138,1.18494,2.89777,1.14774,0.005446,0.005446,0.005446
48,1043.13,1.04531,1.97572,1.0506,0.36416,0.13296,0.1032,0.07807,1.15975,2.76344,1.14757,0.005347,0.005347,0.005347
49,1067.21,1.05695,1.98201,1.06083,0.33238,0.15242,0.10065,0.07307,1.16597,2.83664,1.15669,0.005248,0.005248,0.005248
50,1089.02,1.03264,1.96577,1.0573,0.31212,0.14413,0.09918,0.07654,1.18711,2.93183,1.14673,0.005149,0.005149,0.005149
51,1121.19,1.00775,1.86797,1.03998,0.31711,0.14423,0.0979,0.07353,1.1921,2.86752,1.14509,0.00505,0.00505,0.00505
52,1142.42,1.04538,1.91051,1.04521,0.36456,0.13916,0.09428,0.0702,1.16277,2.83218,1.14067,0.004951,0.004951,0.004951
53,1158.97,1.00409,1.86584,1.03421,0.32811,0.1433,0.10401,0.08056,1.1508,2.82599,1.13482,0.004852,0.004852,0.004852
54,1176.97,1.00434,1.82166,1.03925,0.32368,0.13834,0.09953,0.07643,1.16962,3.03946,1.13684,0.004753,0.004753,0.004753
55,1208.5,1.0099,1.78837,1.03063,0.31897,0.12098,0.09399,0.07121,1.15915,2.90701,1.12711,0.004654,0.004654,0.004654
56,1231.68,0.98624,1.74024,1.03184,0.31429,0.15238,0.09658,0.07391,1.14891,2.92029,1.13893,0.004555,0.004555,0.004555
57,1256.56,1.02307,1.75945,1.03967,0.237,0.16175,0.09806,0.0754,1.15442,2.9051,1.1439,0.004456,0.004456,0.004456
58,1283.26,0.97456,1.71518,1.03093,0.26487,0.16444,0.10938,0.08202,1.15872,2.8851,1.13825,0.004357,0.004357,0.004357
59,1302.76,1.0054,1.72986,1.03294,0.30326,0.14701,0.10198,0.07827,1.15029,2.86817,1.1373,0.004258,0.004258,0.004258
60,1323.65,0.98294,1.67799,1.01839,0.26534,0.15549,0.09481,0.07236,1.17623,2.88504,1.15079,0.004159,0.004159,0.004159
61,1341.03,0.98189,1.63595,1.02641,0.24968,0.16215,0.09559,0.0736,1.17434,2.8795,1.14937,0.00406,0.00406,0.00406
62,1360.89,0.98192,1.64525,1.01762,0.30612,0.15787,0.10048,0.07584,1.17408,2.94557,1.16167,0.003961,0.003961,0.003961
63,1380.27,0.96665,1.6189,1.00954,0.28738,0.16343,0.09136,0.0691,1.14514,2.96366,1.14679,0.003862,0.003862,0.003862
64,1402.87,0.95958,1.55036,1.00883,0.26113,0.15406,0.09816,0.07495,1.16603,2.90281,1.15409,0.003763,0.003763,0.003763
65,1429.63,0.97599,1.57504,1.01327,0.4781,0.09208,0.09845,0.07328,1.16218,2.95088,1.14309,0.003664,0.003664,0.003664
66,1448.64,0.95169,1.5757,1.02125,0.32153,0.15582,0.09206,0.06778,1.13315,2.88626,1.13047,0.003565,0.003565,0.003565
67,1469.23,0.94483,1.53127,1.00858,0.22854,0.14822,0.0975,0.07542,1.12804,2.91107,1.12967,0.003466,0.003466,0.003466
68,1490.55,0.93029,1.50157,1.00443,0.40735,0.1211,0.0997,0.07671,1.16581,2.99895,1.14945,0.003367,0.003367,0.003367
69,1519.18,0.94361,1.47009,1.00285,0.31356,0.1239,0.09894,0.07551,1.1593,2.91277,1.1412,0.003268,0.003268,0.003268
70,1553.71,0.93413,1.43618,0.99015,0.34833,0.13669,0.09518,0.07214,1.14398,2.92915,1.12091,0.003169,0.003169,0.003169
71,1679.69,0.93183,1.45383,1.00352,0.22375,0.14457,0.10317,0.0783,1.15544,2.95386,1.14781,0.00307,0.00307,0.00307
