epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.515,1.36952,4.26094,1.25594,0.17766,0.10671,0.03186,0.02021,1.33786,3.18937,1.24975,0.0701141,0.00332066,0.00332066
2,169.671,1.39919,3.47916,1.26675,0.13831,0.1411,0.04463,0.02627,1.46131,3.06191,1.34123,0.0400482,0.00658812,0.00658812
3,252.15,1.48026,3.31031,1.33071,0.11968,0.10887,0.02925,0.01753,1.69819,3.37157,1.47127,0.00991632,0.00978958,0.00978958
4,330.949,1.55399,3.26699,1.3563,0.05487,0.1215,0.03245,0.01863,1.81102,3.41615,1.55725,0.009703,0.009703,0.009703
5,405.343,1.55879,3.14211,1.34883,0.12067,0.13838,0.06503,0.03766,1.59001,2.99767,1.40149,0.009604,0.009604,0.009604
6,479.905,1.4981,2.98221,1.32725,0.20474,0.17162,0.07262,0.04458,1.53534,2.96924,1.38718,0.009505,0.009505,0.009505
7,555.348,1.50713,2.8694,1.32878,0.13538,0.16274,0.08179,0.05261,1.46427,2.82836,1.34263,0.009406,0.009406,0.009406
8,633.135,1.46354,2.75807,1.30374,0.13658,0.15688,0.08399,0.05475,1.40288,2.84109,1.30535,0.009307,0.009307,0.009307
9,712.981,1.43998,2.69355,1.2837,0.15276,0.20333,0.09985,0.06507,1.38749,2.78694,1.30189,0.009208,0.009208,0.009208
10,787.599,1.41858,2.6266,1.27498,0.20946,0.18713,0.10503,0.0689,1.38629,2.73302,1.26711,0.009109,0.009109,0.009109
11,862.732,1.41568,2.52403,1.26962,0.22121,0.16547,0.10345,0.06809,1.38267,2.73767,1.27915,0.00901,0.00901,0.00901
12,932.854,1.40996,2.49478,1.27556,0.1922,0.21363,0.11518,0.0774,1.34698,2.64259,1.26839,0.008911,0.008911,0.008911
13,992.759,1.37291,2.42575,1.25912,0.26992,0.19901,0.12773,0.08593,1.33564,2.5822,1.25542,0.008812,0.008812,0.008812
14,1054.99,1.35246,2.38431,1.23544,0.25771,0.18832,0.11681,0.07945,1.32668,2.67709,1.23569,0.008713,0.008713,0.008713
15,1117.78,1.3431,2.322,1.22828,0.252,0.21383,0.13226,0.08824,1.34166,2.58715,1.2495,0.008614,0.008614,0.008614
16,1181.94,1.34344,2.25549,1.22062,0.27816,0.21221,0.14621,0.09674,1.34934,2.52385,1.25215,0.008515,0.008515,0.008515
17,1240.8,1.31197,2.20171,1.22137,0.24999,0.22249,0.13778,0.09396,1.31394,2.60112,1.23289,0.008416,0.008416,0.008416
18,1303.45,1.32308,2.20071,1.21187,0.31465,0.19701,0.15826,0.10586,1.3062,2.46797,1.21898,0.008317,0.008317,0.008317
19,1365.32,1.28492,2.11936,1.19678,0.28838,0.21976,0.16605,0.11375,1.28802,2.4206,1.22276,0.008218,0.008218,0.008218
