epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1284,1.27116,4.62393,1.24857,0.24406,0.09443,0.0292,0.02153,1.31633,4.48696,1.22874,0.0675,0.000328283,0.000328283
2,86.0235,1.27428,3.42744,1.24424,0.2419,0.10401,0.02265,0.01519,1.33368,4.42719,1.2778,0.0344934,0.000655066,0.000655066
3,122.813,1.31321,3.19146,1.27419,0.30757,0.09636,0.0363,0.02641,1.39043,6.73738,1.32981,0.0014803,0.000975249,0.000975249
4,156.591,1.31271,3.14084,1.27572,0.43349,0.08271,0.04443,0.03094,1.37012,4.40737,1.30781,0.0009703,0.0009703,0.0009703
5,192.961,1.32945,3.08123,1.27876,0.4921,0.08462,0.05417,0.04129,1.28391,3.61855,1.24908,0.0009604,0.0009604,0.0009604
6,224.575,1.28416,2.90583,1.25268,0.36125,0.10119,0.06002,0.04458,1.28115,3.03761,1.26194,0.0009505,0.0009505,0.0009505
7,258.86,1.2825,2.86885,1.24519,0.43532,0.13728,0.06878,0.0529,1.27884,3.04408,1.2374,0.0009406,0.0009406,0.0009406
8,292.499,1.28139,2.80932,1.24406,0.18501,0.13132,0.06274,0.0427,1.26157,3.24607,1.24153,0.0009307,0.0009307,0.0009307
9,325.511,1.23681,2.76007,1.21343,0.40348,0.106,0.07027,0.04932,1.23815,2.91189,1.23414,0.0009208,0.0009208,0.0009208
10,358.66,1.20547,2.6307,1.19375,0.41642,0.1107,0.06084,0.0429,1.23164,2.8545,1.22159,0.0009109,0.0009109,0.0009109
11,391.515,1.20182,2.58998,1.19321,0.35298,0.12758,0.07671,0.05622,1.21836,2.81557,1.2101,0.000901,0.000901,0.000901
12,421.902,1.15031,2.41859,1.17752,0.308,0.11358,0.0735,0.05437,1.26196,2.96781,1.23541,0.0008911,0.0008911,0.0008911
13,456.459,1.18984,2.47972,1.19387,0.34088,0.134,0.08121,0.06013,1.19837,2.86753,1.19707,0.0008812,0.0008812,0.0008812
14,489.808,1.14848,2.42113,1.17688,0.2489,0.1278,0.08462,0.06207,1.22233,2.89066,1.23332,0.0008713,0.0008713,0.0008713
15,525.809,1.11579,2.352,1.16808,0.39657,0.15544,0.1044,0.079,1.18651,2.71593,1.1973,0.0008614,0.0008614,0.0008614
16,559.748,1.13691,2.34588,1.17002,0.23027,0.14335,0.09259,0.06806,1.15536,2.8015,1.18767,0.0008515,0.0008515,0.0008515
17,593.161,1.12361,2.28501,1.16537,0.26419,0.16115,0.083,0.06255,1.13894,2.75114,1.17388,0.0008416,0.0008416,0.0008416
18,623.167,1.11027,2.21006,1.1438,0.39247,0.10096,0.08653,0.06477,1.16552,2.78369,1.19739,0.0008317,0.0008317,0.0008317
19,656.524,1.08816,2.20097,1.13786,0.33232,0.1233,0.08842,0.068,1.20734,2.76473,1.23412,0.0008218,0.0008218,0.0008218
20,690.356,1.10452,2.14716,1.14991,0.38363,0.12414,0.08159,0.05964,1.19127,3.07279,1.22459,0.0008119,0.0008119,0.0008119
21,723.273,1.08128,2.09726,1.12519,0.32783,0.14624,0.09794,0.07232,1.17244,2.77882,1.19442,0.000802,0.000802,0.000802
22,755.927,1.0667,2.08817,1.12728,0.33168,0.13605,0.09199,0.06922,1.18606,2.81094,1.20887,0.0007921,0.0007921,0.0007921
23,789.675,1.03984,2.01485,1.11219,0.36309,0.1204,0.09168,0.06808,1.15885,2.72485,1.18316,0.0007822,0.0007822,0.0007822
24,823.058,1.0278,1.92654,1.10816,0.44314,0.11918,0.1028,0.07356,1.17775,2.74239,1.19863,0.0007723,0.0007723,0.0007723
25,856.621,1.06523,2.0196,1.1212,0.43864,0.12111,0.09506,0.07295,1.14976,2.77057,1.18237,0.0007624,0.0007624,0.0007624
26,889.67,1.03947,1.92681,1.11061,0.33852,0.15696,0.1123,0.08756,1.15953,2.7404,1.18892,0.0007525,0.0007525,0.0007525
27,923.484,1.01619,1.87211,1.10003,0.32959,0.15645,0.12292,0.09207,1.16212,2.80309,1.19612,0.0007426,0.0007426,0.0007426
28,957.219,1.02379,1.84435,1.09469,0.26854,0.15437,0.12081,0.09302,1.14541,2.7116,1.18039,0.0007327,0.0007327,0.0007327
29,990.127,1.01372,1.77577,1.07582,0.38659,0.12827,0.10881,0.0792,1.15556,2.70778,1.18485,0.0007228,0.0007228,0.0007228
30,1023.64,1.01981,1.77871,1.10255,0.42252,0.12737,0.11194,0.08456,1.1465,2.98336,1.18699,0.0007129,0.0007129,0.0007129
31,1057.72,1.0017,1.71927,1.07341,0.32344,0.14818,0.11733,0.09165,1.1294,2.72915,1.16463,0.000703,0.000703,0.000703
32,1090.21,0.99585,1.70772,1.07502,0.22354,0.19302,0.11489,0.09107,1.13112,2.72155,1.1733,0.0006931,0.0006931,0.0006931
33,1123.16,0.99366,1.69251,1.08397,0.45267,0.11217,0.10474,0.07784,1.15689,2.82818,1.20383,0.0006832,0.0006832,0.0006832
34,1153.98,0.97699,1.58479,1.06296,0.35178,0.11879,0.10534,0.07824,1.1519,2.86633,1.18477,0.0006733,0.0006733,0.0006733
35,1188.74,0.96858,1.58104,1.05936,0.33364,0.15076,0.11844,0.09007,1.14737,2.83763,1.18939,0.0006634,0.0006634,0.0006634
36,1223.46,0.9455,1.58802,1.06241,0.3514,0.14448,0.09762,0.07271,1.15714,2.90092,1.19192,0.0006535,0.0006535,0.0006535
37,1256.89,0.95636,1.56225,1.05827,0.20123,0.18003,0.10886,0.0817,1.16813,2.88574,1.21231,0.0006436,0.0006436,0.0006436
38,1290.62,0.94628,1.51289,1.05466,0.48926,0.11111,0.10924,0.08026,1.17219,2.82485,1.20757,0.0006337,0.0006337,0.0006337
39,1323.99,0.93313,1.47588,1.03923,0.39811,0.15092,0.13303,0.10293,1.12132,2.6829,1.17798,0.0006238,0.0006238,0.0006238
40,1356.8,0.94134,1.47639,1.05799,0.41645,0.16762,0.13234,0.09927,1.15753,2.71511,1.1873,0.0006139,0.0006139,0.0006139
41,1390.42,0.92045,1.44984,1.04446,0.29362,0.17977,0.11299,0.08255,1.13694,2.82708,1.18057,0.000604,0.000604,0.000604
42,1424.27,0.9241,1.38779,1.03977,0.34688,0.13309,0.11239,0.08449,1.13782,2.79828,1.182,0.0005941,0.0005941,0.0005941
43,1457.46,0.88964,1.35929,1.03732,0.27475,0.15168,0.12742,0.099,1.11949,2.77478,1.18217,0.0005842,0.0005842,0.0005842
44,1489.92,0.91289,1.37855,1.0461,0.27655,0.14492,0.12407,0.09458,1.12161,2.77589,1.1825,0.0005743,0.0005743,0.0005743
45,1520.41,0.90129,1.36144,1.03228,0.41106,0.13441,0.1182,0.09083,1.12309,2.85409,1.17814,0.0005644,0.0005644,0.0005644
46,1554.38,0.89524,1.27004,1.02372,0.28814,0.15873,0.12008,0.09454,1.11587,2.77043,1.17902,0.0005545,0.0005545,0.0005545
47,1588.13,0.89525,1.27944,1.03717,0.33777,0.14994,0.13124,0.10121,1.11408,2.93642,1.18858,0.0005446,0.0005446,0.0005446
48,1620.82,0.87738,1.22705,1.01308,0.44713,0.14424,0.13107,0.10134,1.13292,2.74393,1.18901,0.0005347,0.0005347,0.0005347
