epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.0168,1.43212,3.30472,1.34898,0.22994,0.1451,0.05539,0.03519,1.41658,3.26478,1.41023,0.0671255,0.000332066,0.000332066
2,196.76,1.44931,2.82794,1.36784,0.21572,0.15056,0.06994,0.04382,1.47079,2.97412,1.41022,0.0341189,0.000658812,0.000658812
3,296.085,1.4718,2.73536,1.38,0.23618,0.1722,0.06501,0.03965,1.5072,3.21639,1.43235,0.0011057,0.000978958,0.000978958
4,392.651,1.44888,2.68692,1.36184,0.18543,0.17514,0.07907,0.05214,1.43194,2.98137,1.35749,0.0009703,0.0009703,0.0009703
5,486.341,1.42624,2.57839,1.34186,0.22726,0.19533,0.10584,0.06845,1.37869,2.6474,1.33897,0.0009604,0.0009604,0.0009604
6,583.135,1.37519,2.44556,1.31891,0.21348,0.18485,0.12433,0.08109,1.37156,2.66679,1.32004,0.0009505,0.0009505,0.0009505
7,679.193,1.378,2.39316,1.31075,0.24709,0.18677,0.10718,0.0736,1.34163,2.73685,1.31884,0.0009406,0.0009406,0.0009406
8,773.172,1.33202,2.32149,1.28201,0.28158,0.20244,0.12196,0.08343,1.29988,2.67699,1.28476,0.0009307,0.0009307,0.0009307
9,871.402,1.32141,2.24886,1.27168,0.24932,0.2068,0.14048,0.09447,1.32634,2.53215,1.29551,0.0009208,0.0009208,0.0009208
10,967.816,1.30572,2.21988,1.26404,0.2875,0.21405,0.15433,0.10469,1.30618,2.46786,1.27776,0.0009109,0.0009109,0.0009109
11,1061.31,1.29561,2.09762,1.24973,0.26634,0.23217,0.14915,0.1008,1.30166,2.48223,1.26286,0.000901,0.000901,0.000901
12,1157.71,1.27799,2.06739,1.2465,0.2287,0.23289,0.15781,0.1088,1.302,2.4371,1.2779,0.0008911,0.0008911,0.0008911
13,1253.3,1.25519,2.00113,1.23508,0.33955,0.20987,0.16536,0.11374,1.2954,2.4491,1.28843,0.0008812,0.0008812,0.0008812
14,1345.15,1.25526,1.9762,1.22888,0.27172,0.21871,0.1696,0.11717,1.27793,2.41818,1.26987,0.0008713,0.0008713,0.0008713
15,1441.79,1.23411,1.89779,1.21424,0.34294,0.24274,0.1918,0.13378,1.26614,2.3873,1.25274,0.0008614,0.0008614,0.0008614
16,1537.1,1.22536,1.83497,1.19729,0.31539,0.22944,0.16824,0.1157,1.29002,2.44699,1.25354,0.0008515,0.0008515,0.0008515
17,1632.55,1.19238,1.77701,1.19582,0.29413,0.24804,0.19883,0.13921,1.26841,2.30109,1.24939,0.0008416,0.0008416,0.0008416
18,1725.28,1.21478,1.76856,1.19825,0.2554,0.25222,0.18078,0.12347,1.24855,2.43869,1.24882,0.0008317,0.0008317,0.0008317
19,1820.61,1.17675,1.69533,1.18172,0.32677,0.25912,0.21213,0.14877,1.2519,2.25942,1.24069,0.0008218,0.0008218,0.0008218
20,1915.77,1.15179,1.61088,1.16756,0.3566,0.22658,0.20358,0.14415,1.25109,2.2744,1.23877,0.0008119,0.0008119,0.0008119
21,2009.48,1.16067,1.59225,1.16695,0.3345,0.25289,0.2184,0.15479,1.23938,2.26495,1.23195,0.000802,0.000802,0.000802
22,2104.77,1.17167,1.56563,1.16386,0.33116,0.23946,0.20229,0.14483,1.22847,2.41428,1.22216,0.0007921,0.0007921,0.0007921
23,2199.64,1.145,1.49746,1.14191,0.3287,0.27398,0.23107,0.16404,1.24851,2.27547,1.23273,0.0007822,0.0007822,0.0007822
24,2291.82,1.13388,1.46488,1.14783,0.38368,0.26447,0.25306,0.18438,1.19665,2.23056,1.22654,0.0007723,0.0007723,0.0007723
25,2383.34,1.11377,1.41551,1.13498,0.41239,0.27249,0.25822,0.18683,1.1949,2.19448,1.21098,0.0007624,0.0007624,0.0007624
26,2476.51,1.12373,1.4012,1.1384,0.41843,0.28079,0.25676,0.18452,1.20899,2.18353,1.20659,0.0007525,0.0007525,0.0007525
27,2574.26,1.11814,1.37255,1.13717,0.37737,0.28782,0.25608,0.1805,1.24272,2.24228,1.23102,0.0007426,0.0007426,0.0007426
28,2666.14,1.09288,1.31201,1.12305,0.47285,0.27029,0.27524,0.19886,1.21155,2.20865,1.21795,0.0007327,0.0007327,0.0007327
29,2760.77,1.08012,1.28131,1.11628,0.42104,0.26838,0.26502,0.1916,1.18796,2.13524,1.20285,0.0007228,0.0007228,0.0007228
30,2855.59,1.09904,1.26963,1.12381,0.39117,0.28382,0.26336,0.18847,1.20443,2.20429,1.2148,0.0007129,0.0007129,0.0007129
31,2947.34,1.06045,1.22246,1.1069,0.47475,0.29388,0.2929,0.21175,1.19477,2.1138,1.20761,0.000703,0.000703,0.000703
32,3042.25,1.07634,1.21085,1.11491,0.48334,0.29311,0.29248,0.21203,1.19223,2.15637,1.20933,0.0006931,0.0006931,0.0006931
33,3137.3,1.06089,1.17793,1.10739,0.43878,0.30123,0.29329,0.21459,1.19809,2.18425,1.19803,0.0006832,0.0006832,0.0006832
34,3228.86,1.03681,1.13083,1.09265,0.46949,0.29215,0.29283,0.21167,1.18834,2.15067,1.20365,0.0006733,0.0006733,0.0006733
35,3323.29,1.03232,1.12444,1.09109,0.42577,0.30596,0.2871,0.21133,1.1866,2.18919,1.2075,0.0006634,0.0006634,0.0006634
36,3418.49,1.03232,1.08727,1.09028,0.44385,0.31397,0.30558,0.22362,1.17736,2.11104,1.19367,0.0006535,0.0006535,0.0006535
37,3510.33,1.02864,1.07889,1.07991,0.48271,0.30923,0.3065,0.22499,1.16916,2.13037,1.19072,0.0006436,0.0006436,0.0006436
38,3606.25,1.01693,1.04501,1.08117,0.56113,0.28144,0.29689,0.21624,1.17831,2.1933,1.20583,0.0006337,0.0006337,0.0006337
39,3698.15,1.02693,1.05116,1.07972,0.57406,0.29658,0.3153,0.22981,1.16955,2.10652,1.18603,0.0006238,0.0006238,0.0006238
40,3792.27,1.00761,1.01098,1.07665,0.5435,0.30551,0.31685,0.22908,1.17979,2.17744,1.19845,0.0006139,0.0006139,0.0006139
41,3886.16,0.98744,0.99141,1.0632,0.5276,0.31456,0.32512,0.23514,1.16469,2.09214,1.19834,0.000604,0.000604,0.000604
42,3983.16,1.00304,0.9691,1.07093,0.52996,0.33009,0.33812,0.24704,1.16691,2.08592,1.19368,0.0005941,0.0005941,0.0005941
43,4077.71,0.98538,0.94036,1.06201,0.52821,0.32186,0.32363,0.23613,1.17513,2.17723,1.19391,0.0005842,0.0005842,0.0005842
44,4171.94,0.98876,0.94751,1.05424,0.54705,0.32675,0.34352,0.24902,1.1727,2.08717,1.18543,0.0005743,0.0005743,0.0005743
45,4264.49,0.98841,0.92898,1.05749,0.53648,0.33159,0.34291,0.25099,1.14883,2.08634,1.1791,0.0005644,0.0005644,0.0005644
46,4359.36,0.96304,0.89879,1.04549,0.50649,0.34358,0.34167,0.24995,1.14088,2.07522,1.17393,0.0005545,0.0005545,0.0005545
47,4453.98,0.96937,0.90496,1.04236,0.53231,0.33613,0.34878,0.25985,1.1472,2.02818,1.17368,0.0005446,0.0005446,0.0005446
48,4546.37,0.96948,0.89967,1.04837,0.54134,0.329,0.33724,0.24711,1.15724,2.10564,1.18626,0.0005347,0.0005347,0.0005347
49,4640.7,0.9492,0.87084,1.03326,0.58387,0.33538,0.35048,0.25938,1.14114,2.05394,1.1685,0.0005248,0.0005248,0.0005248
50,4734.85,0.9395,0.85085,1.03428,0.56354,0.35053,0.35359,0.26059,1.15422,2.06127,1.18387,0.0005149,0.0005149,0.0005149
51,4827.02,0.92814,0.84527,1.02892,0.56157,0.34157,0.3532,0.26251,1.13198,2.08222,1.17027,0.000505,0.000505,0.000505
52,4921.92,0.93414,0.83455,1.02956,0.61015,0.34093,0.35738,0.26329,1.13196,2.10957,1.16317,0.0004951,0.0004951,0.0004951
53,5019.54,0.92775,0.82,1.02946,0.62399,0.34297,0.3651,0.27163,1.12558,2.08862,1.15966,0.0004852,0.0004852,0.0004852
54,5112.34,0.92783,0.81199,1.02447,0.55287,0.35774,0.3594,0.26977,1.12968,2.10499,1.1654,0.0004753,0.0004753,0.0004753
55,5207.29,0.92151,0.81371,1.02025,0.56461,0.34353,0.35755,0.26495,1.13145,2.09171,1.16479,0.0004654,0.0004654,0.0004654
56,5301.6,0.91746,0.79484,1.02267,0.61379,0.34255,0.37121,0.27416,1.13646,2.10677,1.17186,0.0004555,0.0004555,0.0004555
57,5393.92,0.92456,0.79132,1.02108,0.595,0.36283,0.37483,0.27621,1.12919,2.03525,1.16121,0.0004456,0.0004456,0.0004456
58,5488.52,0.8983,0.76473,1.01159,0.57281,0.36471,0.37337,0.27608,1.12141,2.07684,1.15486,0.0004357,0.0004357,0.0004357
59,5582.83,0.89779,0.74819,1.00986,0.66099,0.34775,0.37872,0.27967,1.11998,2.04867,1.15063,0.0004258,0.0004258,0.0004258
60,5675.83,0.89849,0.74546,1.00188,0.6215,0.35556,0.37887,0.28085,1.10984,2.03533,1.14257,0.0004159,0.0004159,0.0004159
61,5770.38,0.89122,0.74386,1.00186,0.61969,0.35823,0.37076,0.27651,1.11296,2.10804,1.14349,0.000406,0.000406,0.000406
62,5865.28,0.88874,0.74716,1.0103,0.60479,0.36433,0.37867,0.28156,1.11047,2.03646,1.14198,0.0003961,0.0003961,0.0003961
63,5957.62,0.88244,0.73072,0.99862,0.60888,0.33903,0.36699,0.27305,1.11792,2.10101,1.14689,0.0003862,0.0003862,0.0003862
64,6051.75,0.87376,0.72734,0.99946,0.58337,0.377,0.38448,0.28697,1.11126,2.08871,1.14164,0.0003763,0.0003763,0.0003763
65,6145.86,0.86994,0.69638,0.99362,0.6484,0.3571,0.37878,0.28123,1.10349,2.09592,1.14219,0.0003664,0.0003664,0.0003664
66,6239.97,0.85627,0.69669,0.99124,0.63089,0.36836,0.3891,0.29113,1.0996,2.02194,1.13613,0.0003565,0.0003565,0.0003565
67,6368.66,0.86221,0.67738,0.98324,0.66383,0.35465,0.38583,0.2898,1.11401,2.09867,1.14611,0.0003466,0.0003466,0.0003466
68,6468.22,0.84802,0.67235,0.97919,0.6319,0.36156,0.38893,0.29114,1.09528,2.04996,1.13832,0.0003367,0.0003367,0.0003367
69,6559.66,0.84641,0.67294,0.98445,0.63503,0.36124,0.39021,0.29305,1.10966,2.04532,1.13682,0.0003268,0.0003268,0.0003268
70,6655.81,0.85613,0.67782,0.98499,0.66349,0.35587,0.38766,0.29025,1.09708,2.06556,1.1301,0.0003169,0.0003169,0.0003169
71,6749.46,0.83974,0.65751,0.98022,0.65779,0.36777,0.39021,0.29031,1.09992,2.03404,1.1439,0.000307,0.000307,0.000307
72,6842.02,0.8329,0.65336,0.97778,0.63447,0.38075,0.39698,0.29627,1.09785,2.02822,1.13731,0.0002971,0.0002971,0.0002971
73,6936.45,0.82364,0.6441,0.977,0.68445,0.36248,0.39627,0.29675,1.09398,2.0291,1.1452,0.0002872,0.0002872,0.0002872
74,7031.17,0.82238,0.62946,0.97104,0.64183,0.37072,0.39237,0.29252,1.09712,2.06371,1.13442,0.0002773,0.0002773,0.0002773
75,7125.18,0.81337,0.61721,0.96793,0.70693,0.35989,0.39437,0.29641,1.08948,2.0627,1.1324,0.0002674,0.0002674,0.0002674
76,7218.53,0.8147,0.62096,0.9703,0.69103,0.35938,0.39423,0.29522,1.10386,2.08603,1.14219,0.0002575,0.0002575,0.0002575
77,7309.52,0.80365,0.61856,0.96779,0.63887,0.36451,0.39286,0.29701,1.09195,2.06661,1.13863,0.0002476,0.0002476,0.0002476
78,7405.44,0.80321,0.60995,0.96836,0.66651,0.37017,0.39302,0.29656,1.10407,2.08037,1.13868,0.0002377,0.0002377,0.0002377
79,7499.92,0.79879,0.59995,0.96297,0.67095,0.35916,0.39719,0.30197,1.07649,2.05601,1.11971,0.0002278,0.0002278,0.0002278
80,7590.56,0.79586,0.59748,0.96588,0.64242,0.37127,0.39755,0.30143,1.08195,2.09862,1.1304,0.0002179,0.0002179,0.0002179
81,7687.28,0.79409,0.5908,0.95794,0.68146,0.36074,0.39573,0.29994,1.07922,2.08751,1.13129,0.000208,0.000208,0.000208
82,7781.9,0.78471,0.58268,0.95446,0.65317,0.37158,0.39945,0.30307,1.08411,2.04312,1.13191,0.0001981,0.0001981,0.0001981
83,7873.8,0.77888,0.57795,0.94972,0.68127,0.36218,0.39383,0.3013,1.07439,2.08677,1.12232,0.0001882,0.0001882,0.0001882
84,7971.39,0.76952,0.57773,0.95334,0.67671,0.36154,0.39367,0.30134,1.07159,2.08933,1.12579,0.0001783,0.0001783,0.0001783
85,8064.28,0.77479,0.56779,0.95616,0.65787,0.37597,0.40104,0.30671,1.07109,2.09304,1.12299,0.0001684,0.0001684,0.0001684
