epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5896,1.57297,4.75471,1.36801,0.33885,0.05559,0.01836,0.0112,1.60374,3.68158,1.28629,0.0673359,0.000164141,0.000164141
2,73.0579,1.51807,3.57451,1.33707,0.31468,0.09419,0.04324,0.02789,1.44609,3.9948,1.2577,0.0341659,0.000327533,0.000327533
3,98.9377,1.51366,3.26263,1.33111,0.31768,0.12646,0.05155,0.03308,1.52785,3.57888,1.2986,0.000992675,0.000487625,0.000487625
4,130.417,1.46495,3.12942,1.32162,0.40091,0.12629,0.05618,0.0333,1.53213,3.3032,1.31512,0.00048515,0.00048515,0.00048515
5,156.765,1.4796,3.06641,1.3389,0.40497,0.08806,0.05305,0.03241,1.58125,3.32142,1.33529,0.0004802,0.0004802,0.0004802
6,183.278,1.4427,2.94526,1.32167,0.30791,0.12532,0.06659,0.04161,1.48634,2.95407,1.29217,0.00047525,0.00047525,0.00047525
7,212.154,1.42933,2.82945,1.3111,0.3702,0.11557,0.09055,0.06073,1.42954,2.99562,1.26675,0.0004703,0.0004703,0.0004703
8,239.547,1.44846,2.75639,1.30693,0.47674,0.09341,0.08925,0.06076,1.60224,3.10636,1.29544,0.00046535,0.00046535,0.00046535
9,269.072,1.40245,2.68541,1.2795,0.34398,0.12689,0.08343,0.05381,1.47856,2.83073,1.28848,0.0004604,0.0004604,0.0004604
10,293.494,1.37748,2.63067,1.26853,0.37725,0.14996,0.10698,0.07202,1.46297,2.73098,1.26078,0.00045545,0.00045545,0.00045545
11,321.519,1.40681,2.60643,1.29701,0.36056,0.12455,0.08989,0.05675,1.51478,2.79553,1.29091,0.0004505,0.0004505,0.0004505
12,346.905,1.3727,2.53588,1.257,0.36979,0.15792,0.10761,0.06957,1.46081,2.65484,1.25642,0.00044555,0.00044555,0.00044555
13,376.278,1.39162,2.48918,1.26876,0.3216,0.17307,0.11348,0.0745,1.55512,2.8522,1.30885,0.0004406,0.0004406,0.0004406
14,402.324,1.38214,2.46233,1.26604,0.38601,0.15327,0.11756,0.07562,1.54171,2.67667,1.30543,0.00043565,0.00043565,0.00043565
15,430.508,1.39028,2.4234,1.28429,0.43707,0.1458,0.1075,0.06562,1.50867,2.81628,1.26131,0.0004307,0.0004307,0.0004307
16,454.619,1.37304,2.34093,1.24569,0.38515,0.16378,0.13478,0.08693,1.52666,2.68658,1.28372,0.00042575,0.00042575,0.00042575
17,483.671,1.3512,2.26641,1.24703,0.28844,0.16811,0.1217,0.07534,1.48283,2.78628,1.26833,0.0004208,0.0004208,0.0004208
18,510.323,1.34377,2.19993,1.22843,0.31391,0.14186,0.10367,0.06265,1.5868,2.8483,1.31966,0.00041585,0.00041585,0.00041585
19,534.924,1.36485,2.2537,1.25277,0.40173,0.12963,0.10071,0.06726,1.43852,2.72202,1.24395,0.0004109,0.0004109,0.0004109
20,563.043,1.34927,2.21211,1.23773,0.35694,0.16524,0.14282,0.09663,1.47333,2.6489,1.24368,0.00040595,0.00040595,0.00040595
21,588.41,1.34711,2.18499,1.23835,0.36287,0.19632,0.14012,0.0959,1.47692,2.68882,1.26032,0.000401,0.000401,0.000401
22,618.692,1.35942,2.16541,1.25169,0.36757,0.19274,0.12711,0.0789,1.54154,2.70746,1.26724,0.00039605,0.00039605,0.00039605
23,645.618,1.34836,2.08433,1.22523,0.4255,0.12564,0.12527,0.08496,1.46612,2.64123,1.25669,0.0003911,0.0003911,0.0003911
24,672.724,1.30549,2.01599,1.21537,0.38044,0.1983,0.146,0.0915,1.57304,2.64297,1.31001,0.00038615,0.00038615,0.00038615
25,699.555,1.31344,2.00064,1.21751,0.36514,0.17539,0.15363,0.10116,1.53189,2.70718,1.31644,0.0003812,0.0003812,0.0003812
26,727.202,1.30308,1.9417,1.20781,0.28772,0.15143,0.11627,0.07337,1.4579,2.75616,1.24822,0.00037625,0.00037625,0.00037625
27,753.466,1.31346,1.99758,1.21471,0.34276,0.14063,0.11653,0.0711,1.59173,2.70388,1.29344,0.0003713,0.0003713,0.0003713
28,778.772,1.2951,1.88131,1.20375,0.30072,0.20134,0.1535,0.09899,1.54609,2.64754,1.28318,0.00036635,0.00036635,0.00036635
29,806.671,1.28707,1.92055,1.20393,0.37856,0.15464,0.12885,0.08358,1.49186,2.63909,1.2712,0.0003614,0.0003614,0.0003614
30,832.626,1.2921,1.77566,1.1993,0.39223,0.15315,0.13778,0.08765,1.49436,2.70393,1.28047,0.00035645,0.00035645,0.00035645
31,857.219,1.29674,1.80478,1.1989,0.39527,0.18891,0.14008,0.08976,1.52028,2.61881,1.26106,0.0003515,0.0003515,0.0003515
32,884.847,1.27596,1.76231,1.19146,0.38846,0.16235,0.14493,0.09294,1.57559,2.67179,1.28833,0.00034655,0.00034655,0.00034655
33,912.488,1.28425,1.812,1.19143,0.25654,0.20994,0.13577,0.08699,1.56902,2.69499,1.3034,0.0003416,0.0003416,0.0003416
34,939.519,1.24824,1.6808,1.1731,0.27886,0.18863,0.13307,0.08246,1.58362,2.72704,1.3239,0.00033665,0.00033665,0.00033665
35,965.222,1.28913,1.72236,1.22306,0.30516,0.17657,0.15194,0.09814,1.47363,2.68131,1.26541,0.0003317,0.0003317,0.0003317
36,996.4,1.2441,1.69294,1.18118,0.3994,0.12088,0.11403,0.07522,1.42122,2.7288,1.22798,0.00032675,0.00032675,0.00032675
37,1025.22,1.25544,1.65012,1.1742,0.45257,0.12446,0.12707,0.0815,1.51416,2.80064,1.24977,0.0003218,0.0003218,0.0003218
38,1052.65,1.2624,1.65449,1.18318,0.37501,0.19157,0.15979,0.1019,1.53705,2.79371,1.28234,0.00031685,0.00031685,0.00031685
39,1079.35,1.24009,1.58625,1.15901,0.28944,0.16856,0.13284,0.08505,1.51343,2.80551,1.28566,0.0003119,0.0003119,0.0003119
40,1103.9,1.21174,1.5365,1.17298,0.35763,0.15253,0.15248,0.10445,1.44249,2.73362,1.26333,0.00030695,0.00030695,0.00030695
41,1131.06,1.23753,1.59103,1.1643,0.26787,0.18472,0.13753,0.09353,1.47738,2.76896,1.26637,0.000302,0.000302,0.000302
42,1158.61,1.20337,1.55427,1.1625,0.45568,0.14663,0.13672,0.09762,1.40086,2.82404,1.21011,0.00029705,0.00029705,0.00029705
43,1185.3,1.23514,1.56716,1.16871,0.40294,0.12323,0.12874,0.08768,1.4607,2.72722,1.23664,0.0002921,0.0002921,0.0002921
44,1209.24,1.20453,1.49582,1.14343,0.41332,0.16866,0.15312,0.09914,1.50926,2.75734,1.25795,0.00028715,0.00028715,0.00028715
45,1236.6,1.19428,1.48974,1.15128,0.36224,0.15676,0.1381,0.09322,1.41774,2.72711,1.22949,0.0002822,0.0002822,0.0002822
46,1264.6,1.18832,1.46678,1.13082,0.39492,0.14623,0.13696,0.09563,1.43759,2.74325,1.23384,0.00027725,0.00027725,0.00027725
47,1292.39,1.19901,1.50707,1.16367,0.51004,0.15099,0.156,0.11125,1.38843,2.71314,1.23252,0.0002723,0.0002723,0.0002723
48,1317.13,1.15181,1.37315,1.13085,0.29616,0.16993,0.14826,0.0997,1.42826,2.77334,1.24144,0.00026735,0.00026735,0.00026735
49,1345.6,1.18341,1.44371,1.13124,0.45587,0.15065,0.15202,0.10497,1.40524,2.74456,1.21724,0.0002624,0.0002624,0.0002624
50,1372.82,1.13074,1.3498,1.11696,0.3621,0.20825,0.15883,0.10919,1.39212,2.74067,1.22495,0.00025745,0.00025745,0.00025745
51,1399.26,1.13152,1.35169,1.12115,0.29266,0.22967,0.16492,0.11404,1.41505,2.7749,1.2439,0.0002525,0.0002525,0.0002525
52,1422.84,1.14262,1.35787,1.11181,0.31656,0.16354,0.13745,0.09306,1.45099,2.76799,1.24358,0.00024755,0.00024755,0.00024755
53,1449.48,1.15864,1.37143,1.12597,0.31386,0.22128,0.15466,0.10687,1.39805,2.8237,1.22943,0.0002426,0.0002426,0.0002426
54,1473.46,1.14797,1.35988,1.11775,0.4052,0.18499,0.15813,0.11406,1.34985,2.83611,1.20268,0.00023765,0.00023765,0.00023765
55,1502.52,1.10592,1.27926,1.10617,0.25486,0.21441,0.16942,0.12316,1.31771,2.74425,1.19239,0.0002327,0.0002327,0.0002327
56,1527.78,1.12994,1.26201,1.10414,0.5023,0.14711,0.15432,0.10977,1.30306,2.69501,1.20899,0.00022775,0.00022775,0.00022775
57,1555.79,1.11528,1.23468,1.10496,0.39947,0.14419,0.13175,0.0871,1.36835,2.73597,1.22883,0.0002228,0.0002228,0.0002228
58,1580.54,1.11113,1.24267,1.11722,0.50825,0.14137,0.1688,0.11974,1.36706,2.75151,1.22619,0.00021785,0.00021785,0.00021785
59,1607.56,1.11972,1.23699,1.10682,0.41928,0.1662,0.15543,0.11368,1.32554,2.77596,1.19771,0.0002129,0.0002129,0.0002129
60,1633.95,1.0964,1.24433,1.09894,0.42895,0.1646,0.16955,0.11802,1.41657,2.80797,1.22243,0.00020795,0.00020795,0.00020795
61,1660.81,1.10196,1.22843,1.11819,0.47589,0.16388,0.16045,0.11284,1.39762,2.78664,1.20672,0.000203,0.000203,0.000203
62,1685.45,1.11628,1.20525,1.09445,0.40889,0.17739,0.15436,0.1155,1.29988,2.79354,1.19438,0.00019805,0.00019805,0.00019805
63,1713.67,1.07751,1.1641,1.08937,0.31494,0.16493,0.14082,0.10209,1.24409,2.79745,1.17611,0.0001931,0.0001931,0.0001931
64,1741.24,1.08339,1.16819,1.09346,0.38889,0.17577,0.15131,0.10583,1.32139,2.83202,1.21503,0.00018815,0.00018815,0.00018815
65,1767.5,1.07089,1.14647,1.0895,0.42388,0.15098,0.1496,0.10655,1.34241,2.82095,1.21803,0.0001832,0.0001832,0.0001832
66,1791.27,1.08217,1.15952,1.08669,0.48461,0.14452,0.14993,0.10505,1.34396,2.84007,1.20254,0.00017825,0.00017825,0.00017825
67,1818.9,1.08632,1.16964,1.09308,0.52292,0.14487,0.17239,0.12969,1.27622,2.82133,1.17302,0.0001733,0.0001733,0.0001733
68,1845.34,1.04995,1.11186,1.0754,0.40553,0.181,0.17923,0.13385,1.27675,2.82223,1.16942,0.00016835,0.00016835,0.00016835
69,1872.38,1.07761,1.08819,1.08081,0.36922,0.15991,0.15333,0.11282,1.20551,2.79912,1.15967,0.0001634,0.0001634,0.0001634
70,1896.12,1.07757,1.11912,1.08441,0.32682,0.19012,0.1645,0.11926,1.29279,2.80148,1.19995,0.00015845,0.00015845,0.00015845
71,1923.4,1.06863,1.07828,1.07673,0.37628,0.14793,0.15237,0.1112,1.27295,2.80461,1.18483,0.0001535,0.0001535,0.0001535
72,1949.95,1.05855,1.10317,1.08686,0.35736,0.18188,0.17408,0.13367,1.2495,2.78767,1.17826,0.00014855,0.00014855,0.00014855
73,1977.63,1.04646,1.08106,1.07202,0.33033,0.16042,0.14514,0.10755,1.26755,2.76244,1.18713,0.0001436,0.0001436,0.0001436
74,2000.75,1.04358,1.07985,1.07922,0.48882,0.13984,0.1591,0.1202,1.23095,2.7396,1.17523,0.00013865,0.00013865,0.00013865
75,2027.39,1.04303,1.01051,1.05505,0.45489,0.13512,0.15467,0.11673,1.25505,2.80888,1.177,0.0001337,0.0001337,0.0001337
76,2055.3,1.05642,1.05144,1.06622,0.48562,0.15385,0.15834,0.12202,1.20262,2.81852,1.14972,0.00012875,0.00012875,0.00012875
77,2083.79,1.04736,1.03854,1.06894,0.42988,0.14398,0.13926,0.10415,1.22538,2.84477,1.17089,0.0001238,0.0001238,0.0001238
