epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.22,1.20538,5.48855,1.23668,0.36755,0.06472,0.03355,0.02808,1.01683,3.55075,1.11397,0.0704545,0.00328283,0.00328283
2,86.2092,1.1144,3.52847,1.15697,0.40963,0.11389,0.05873,0.04747,1.03936,2.96913,1.07903,0.0404109,0.00657249,0.00657249
3,118.152,1.11522,3.1556,1.13454,0.41696,0.07504,0.03348,0.02462,1.23108,3.3437,1.2246,0.0103232,0.00981816,0.00981816
4,144.433,1.22161,3.15441,1.18176,0.38147,0.0701,0.04711,0.03439,1.2553,3.39515,1.19034,0.009802,0.009802,0.009802
5,174.044,1.25119,3.00241,1.18627,0.35206,0.10691,0.07145,0.05238,1.28596,3.26062,1.20967,0.009736,0.009736,0.009736
6,224.399,1.20323,2.84673,1.17512,0.36179,0.12834,0.07511,0.05638,1.23837,3.24122,1.18698,0.00967,0.00967,0.00967
7,253.779,1.24021,2.78405,1.17477,0.39411,0.09264,0.09108,0.07091,1.23163,3.02662,1.18837,0.009604,0.009604,0.009604
8,279.829,1.23304,2.69905,1.17694,0.34191,0.12372,0.08667,0.06249,1.21755,2.89241,1.17811,0.009538,0.009538,0.009538
9,312.209,1.21975,2.6251,1.15686,0.38559,0.11955,0.09828,0.0745,1.24237,3.24385,1.1702,0.009472,0.009472,0.009472
10,356.57,1.19435,2.471,1.14135,0.3438,0.11656,0.0769,0.05448,1.23412,2.97199,1.17364,0.009406,0.009406,0.009406
11,390.044,1.17996,2.4214,1.14042,0.42698,0.13218,0.09135,0.06905,1.2518,2.90405,1.19579,0.00934,0.00934,0.00934
12,419.109,1.12391,2.27025,1.11417,0.31322,0.13176,0.0886,0.06656,1.23108,2.77843,1.1689,0.009274,0.009274,0.009274
13,456.201,1.18049,2.30115,1.13243,0.29541,0.16633,0.12041,0.0976,1.19009,2.81116,1.16532,0.009208,0.009208,0.009208
14,482.499,1.13141,2.19823,1.10858,0.35793,0.1379,0.12237,0.09453,1.209,2.82393,1.19047,0.009142,0.009142,0.009142
15,518.369,1.11425,2.13663,1.11365,0.31946,0.13682,0.10945,0.08614,1.20409,2.89327,1.16421,0.009076,0.009076,0.009076
16,545.208,1.11782,2.10151,1.10923,0.26593,0.17033,0.11091,0.08595,1.19193,2.81126,1.15971,0.00901,0.00901,0.00901
17,579.907,1.11525,2.07105,1.1177,0.28147,0.13278,0.09801,0.07542,1.23191,2.96497,1.19389,0.008944,0.008944,0.008944
18,618.154,1.08822,1.99402,1.08791,0.37292,0.11342,0.09203,0.0685,1.21884,2.8613,1.18924,0.008878,0.008878,0.008878
19,648.68,1.08574,1.99047,1.08748,0.37204,0.13787,0.10885,0.08814,1.20052,2.77963,1.16731,0.008812,0.008812,0.008812
20,681.118,1.08791,1.93555,1.09028,0.50303,0.12691,0.12537,0.09511,1.19794,2.76726,1.17442,0.008746,0.008746,0.008746
21,706.832,1.06919,1.86286,1.06633,0.43645,0.13409,0.1083,0.08409,1.18408,2.76262,1.16707,0.00868,0.00868,0.00868
22,734.375,1.05116,1.8033,1.06876,0.46281,0.13011,0.13848,0.10935,1.19374,2.75482,1.1696,0.008614,0.008614,0.008614
23,764.747,1.04235,1.76398,1.06871,0.37196,0.14165,0.13763,0.10666,1.19647,2.88293,1.1748,0.008548,0.008548,0.008548
24,816.695,1.02269,1.72945,1.06035,0.25203,0.15436,0.1144,0.08363,1.18282,2.76314,1.15703,0.008482,0.008482,0.008482
25,847.533,1.0581,1.77014,1.07165,0.23258,0.15487,0.0937,0.06942,1.16664,2.76084,1.15481,0.008416,0.008416,0.008416
26,882.065,1.03708,1.6728,1.06158,0.28904,0.14975,0.10794,0.08027,1.18342,2.7925,1.15887,0.00835,0.00835,0.00835
27,907.898,1.01264,1.60844,1.04489,0.4479,0.15064,0.13757,0.11064,1.14451,2.77541,1.15034,0.008284,0.008284,0.008284
28,934.284,1.00294,1.53715,1.04181,0.34253,0.1563,0.10913,0.08029,1.16819,2.82602,1.1582,0.008218,0.008218,0.008218
29,965.176,1.01694,1.52192,1.03604,0.35527,0.12951,0.11317,0.0892,1.14224,2.79972,1.15396,0.008152,0.008152,0.008152
30,995.181,1.00997,1.50719,1.0525,0.29995,0.15163,0.10514,0.07819,1.16677,2.79935,1.16518,0.008086,0.008086,0.008086
31,1021.7,0.98471,1.43162,1.02745,0.36789,0.15136,0.12143,0.09408,1.16874,2.82448,1.1561,0.00802,0.00802,0.00802
32,1048.05,0.98738,1.45341,1.02717,0.3641,0.1625,0.11175,0.08423,1.14458,2.87098,1.14861,0.007954,0.007954,0.007954
33,1077.56,0.96774,1.4068,1.02953,0.33878,0.13603,0.09525,0.0713,1.18858,3.03779,1.1709,0.007888,0.007888,0.007888
34,1108.57,0.95876,1.33218,1.0152,0.46151,0.11387,0.10796,0.07465,1.15059,3.06084,1.12785,0.007822,0.007822,0.007822
