epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.417,1.32362,3.90055,1.28446,0.19851,0.1467,0.08309,0.05937,1.17839,2.77599,1.18062,0.0701141,0.00332066,0.00332066
2,207.445,1.23815,2.59628,1.19264,0.26639,0.18632,0.12514,0.08633,1.22278,2.57485,1.18743,0.0400482,0.00658812,0.00658812
3,302.542,1.33629,2.50123,1.23127,0.20081,0.17182,0.09079,0.05906,1.40369,2.86098,1.30556,0.00991632,0.00978958,0.00978958
4,400.445,1.42809,2.5886,1.28154,0.13765,0.15465,0.0778,0.04872,1.4709,2.97592,1.32876,0.009703,0.009703,0.009703
5,497.787,1.45473,2.53626,1.29613,0.16037,0.16555,0.09606,0.06142,1.48332,2.82485,1.33995,0.009604,0.009604,0.009604
6,595.212,1.40044,2.39741,1.27469,0.20261,0.1796,0.10788,0.06956,1.44383,2.77274,1.3218,0.009505,0.009505,0.009505
7,690.658,1.40801,2.33919,1.27276,0.19316,0.20189,0.12346,0.08178,1.37888,2.65585,1.29072,0.009406,0.009406,0.009406
8,786.966,1.35842,2.22728,1.24117,0.21476,0.21067,0.13641,0.09197,1.31642,2.55033,1.25389,0.009307,0.009307,0.009307
9,885.466,1.33847,2.15461,1.23269,0.26327,0.19721,0.12989,0.0866,1.34238,2.57046,1.2564,0.009208,0.009208,0.009208
10,981.996,1.31424,2.05829,1.21313,0.27607,0.21074,0.13947,0.09254,1.33201,2.57371,1.26094,0.009109,0.009109,0.009109
11,1076.69,1.30241,1.96018,1.2063,0.2598,0.20924,0.15908,0.10793,1.31575,2.47243,1.24456,0.00901,0.00901,0.00901
12,1172.83,1.29111,1.90685,1.20302,0.30228,0.21649,0.17258,0.11738,1.28776,2.41064,1.24079,0.008911,0.008911,0.008911
13,1269.64,1.25826,1.79497,1.17981,0.3885,0.21121,0.18932,0.13079,1.29877,2.40926,1.24159,0.008812,0.008812,0.008812
14,1362.12,1.24562,1.76254,1.17295,0.2978,0.22193,0.17928,0.12346,1.26434,2.40466,1.22059,0.008713,0.008713,0.008713
15,1457.99,1.2214,1.68445,1.15946,0.27721,0.21802,0.18213,0.12448,1.29509,2.50468,1.21788,0.008614,0.008614,0.008614
16,1552.82,1.21156,1.62302,1.14834,0.3821,0.24673,0.21432,0.15036,1.24682,2.32989,1.20313,0.008515,0.008515,0.008515
17,1645.69,1.17634,1.53576,1.14216,0.32044,0.26555,0.22266,0.16034,1.2223,2.27477,1.1947,0.008416,0.008416,0.008416
18,1741.67,1.19756,1.52761,1.13948,0.37793,0.2425,0.2297,0.16019,1.27313,2.2676,1.20436,0.008317,0.008317,0.008317
19,1837.01,1.15686,1.42971,1.12414,0.38001,0.2389,0.22727,0.16387,1.21769,2.32124,1.18559,0.008218,0.008218,0.008218
20,1929.9,1.13188,1.36922,1.11425,0.35307,0.25314,0.22896,0.16227,1.24374,2.3102,1.20198,0.008119,0.008119,0.008119
21,2026.13,1.13181,1.3452,1.11076,0.37807,0.26326,0.24237,0.17554,1.22158,2.2885,1.18572,0.00802,0.00802,0.00802
22,2123.25,1.14534,1.32769,1.10774,0.47592,0.24359,0.24563,0.17798,1.2332,2.31351,1.18498,0.007921,0.007921,0.007921
23,2219.66,1.12048,1.25852,1.09105,0.46826,0.26279,0.26571,0.1919,1.1965,2.21774,1.16803,0.007822,0.007822,0.007822
24,2311.97,1.11042,1.23531,1.09378,0.40798,0.29361,0.27923,0.20358,1.20293,2.18102,1.1742,0.007723,0.007723,0.007723
25,2407.42,1.08581,1.19315,1.07664,0.49867,0.27138,0.2776,0.1996,1.21768,2.21703,1.17449,0.007624,0.007624,0.007624
26,2503.98,1.09263,1.16585,1.08136,0.43235,0.3,0.28131,0.20149,1.19889,2.22964,1.17577,0.007525,0.007525,0.007525
27,2596.37,1.07928,1.12458,1.07445,0.52406,0.27964,0.28974,0.2063,1.21488,2.1708,1.18027,0.007426,0.007426,0.007426
