epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0109,1.75536,5.55,1.51106,0.3583,0.05969,0.02614,0.01504,1.62248,3.81558,1.2969,0.0704545,0.00328283,0.00328283
2,72.5956,1.60681,3.8779,1.42851,0.49728,0.0841,0.04424,0.02805,1.63682,3.64508,1.27941,0.040389,0.00655066,0.00655066
3,98.6234,1.58414,3.5513,1.34894,0.47774,0.08443,0.06538,0.03856,1.69584,3.85762,1.31132,0.0102575,0.00975249,0.00975249
4,127.596,1.66705,3.48323,1.4058,0.4295,0.09187,0.03912,0.02219,1.9366,3.76716,1.43062,0.009703,0.009703,0.009703
5,157.216,1.69984,3.47317,1.41513,0.47048,0.0642,0.04455,0.02733,1.71142,3.46682,1.36162,0.009604,0.009604,0.009604
6,185.919,1.70159,3.38248,1.42743,0.45298,0.10633,0.0652,0.04428,1.70246,3.40337,1.37355,0.009505,0.009505,0.009505
7,213.359,1.68113,3.23446,1.4062,0.3906,0.09784,0.0708,0.03725,1.81353,3.18623,1.43795,0.009406,0.009406,0.009406
8,237.534,1.70791,3.24461,1.41932,0.37125,0.10656,0.04478,0.02624,1.69989,3.64211,1.34932,0.009307,0.009307,0.009307
9,267.813,1.66408,3.14084,1.39668,0.5332,0.08987,0.06758,0.03314,1.92655,3.11189,1.46103,0.009208,0.009208,0.009208
10,296.772,1.64921,3.09782,1.38083,0.49058,0.07614,0.08539,0.04966,1.7231,2.94705,1.33176,0.009109,0.009109,0.009109
11,325.281,1.65712,3.07485,1.37387,0.36552,0.12651,0.08422,0.04744,1.79292,3.01039,1.36213,0.00901,0.00901,0.00901
12,353.808,1.67031,3.03454,1.36931,0.38356,0.11123,0.07978,0.04856,1.64102,2.97431,1.29516,0.008911,0.008911,0.008911
13,378.537,1.64975,2.98878,1.36149,0.39235,0.12087,0.07924,0.03936,1.84864,2.88954,1.41758,0.008812,0.008812,0.008812
14,407.661,1.64884,2.94238,1.4062,0.35165,0.11946,0.07874,0.04338,1.84933,3.02602,1.4037,0.008713,0.008713,0.008713
15,435.007,1.61824,2.93828,1.37074,0.4599,0.12881,0.09865,0.05436,1.85121,2.90858,1.41451,0.008614,0.008614,0.008614
16,464.458,1.64302,2.88187,1.35293,0.38908,0.13876,0.08128,0.04702,1.7972,2.83551,1.35243,0.008515,0.008515,0.008515
